project,file,function,start_line,end_line,nloc,cyclomatic,params
Json CPP,jsoncpp/src/lib_json/json_writer.cpp,Json::BuiltStyledStreamWriter::writeCommentAfterValueOnSameLine,1076,1087,11,4,1
Json CPP,jsoncpp/src/lib_json/json_writer.cpp,Json::BuiltStyledStreamWriter::hasCommentForValue,1090,1094,5,3,1
Json CPP,jsoncpp/src/lib_json/json_writer.cpp,Json::StreamWriter::StreamWriter,1099,1099,1,1,0
Json CPP,jsoncpp/src/lib_json/json_writer.cpp,Json::StreamWriterBuilder::StreamWriterBuilder,1102,1102,1,1,0
Json CPP,jsoncpp/src/lib_json/json_writer.cpp,Json::StreamWriterBuilder::newStreamWriter,1104,1145,42,9,0
Json CPP,jsoncpp/src/lib_json/json_writer.cpp,Json::StreamWriterBuilder::validate,1147,1168,22,5,1
Json CPP,jsoncpp/src/lib_json/json_writer.cpp,Json::StreamWriterBuilder::operator [ ],1170,1172,3,1,1
Json CPP,jsoncpp/src/lib_json/json_writer.cpp,Json::StreamWriterBuilder::setDefaults,1174,1185,10,1,1
Json CPP,jsoncpp/src/lib_json/json_writer.cpp,Json::writeString,1187,1192,6,1,2
Json CPP,jsoncpp/src/lib_json/json_writer.cpp,Json::operator < <,1194,1199,6,1,2
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::Features::all,56,56,1,1,0
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::Features::strictMode,58,65,8,1,0
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::Reader::containsNewLine,70,72,3,2,2
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::Reader::Reader,77,77,1,1,0
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::Reader::Reader,79,79,1,1,1
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::Reader::parse,81,87,7,1,3
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::Reader::parse,89,99,4,1,3
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::Reader::parse,101,138,34,8,4
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::Reader::readValue,140,215,65,16,0
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::Reader::readTokenSkippingComments,217,225,9,4,1
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::Reader::readToken,227,296,70,25,1
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::Reader::skipSpaces,298,306,9,6,0
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::Reader::match,308,317,10,4,2
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::Reader::readComment,319,340,20,9,0
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::Reader::normalizeEOL,342,359,16,5,2
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::Reader::addComment,361,371,11,2,3
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::Reader::readCStyleComment,373,380,8,4,0
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::Reader::readCppStyleComment,382,396,13,6,0
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::Reader::readNumber,398,418,18,18,0
